stim_1_id,relation_1,stim_2_id,stim_3_id,relation_2,stim_4_id,stim_5_id,relation_3,stim_6_id,stim_7_id,relation_4,stim_8_id,q_stim_1_id,q_rel,q_stim_2_id,correct_response,q_word,yes_x_coord,no_x_coord,stage
2,je znotraj,1,2,vsebuje,3,,,,,,,1,znotraj,2,no,Is,250,-250,97
2,je znotraj,1,2,vsebuje,3,,,,,,,1,znotraj,3,no,Is,250,-250,97
2,je znotraj,1,2,vsebuje,3,,,,,,,2,znotraj,3,no,Is,250,-250,97
2,je znotraj,1,2,vsebuje,3,,,,,,,3,znotraj,1,yes,Is,250,-250,97
2,je znotraj,1,2,vsebuje,3,,,,,,,3,znotraj,2,yes,Is,250,-250,97
2,je znotraj,1,2,vsebuje,3,,,,,,,2,znotraj,1,yes,Is,250,-250,97
3,je znotraj,2,1,vsebuje,2,,,,,,,1,znotraj,2,no,Is,250,-250,97
3,je znotraj,2,1,vsebuje,2,,,,,,,1,znotraj,3,no,Is,250,-250,97
3,je znotraj,2,1,vsebuje,2,,,,,,,2,znotraj,3,no,Is,250,-250,97
3,je znotraj,2,1,vsebuje,2,,,,,,,3,znotraj,1,yes,Is,250,-250,97
3,je znotraj,2,1,vsebuje,2,,,,,,,3,znotraj,2,yes,Is,250,-250,97
3,je znotraj,2,1,vsebuje,2,,,,,,,2,znotraj,1,yes,Is,250,-250,97
2,vsebuje,3,2,je znotraj,1,,,,,,,1,znotraj,2,no,Is,250,-250,97
2,vsebuje,3,2,je znotraj,1,,,,,,,1,znotraj,3,no,Is,250,-250,97
2,vsebuje,3,2,je znotraj,1,,,,,,,2,znotraj,3,no,Is,250,-250,97
2,vsebuje,3,2,je znotraj,1,,,,,,,3,znotraj,1,yes,Is,250,-250,97
2,vsebuje,3,2,je znotraj,1,,,,,,,3,znotraj,2,yes,Is,250,-250,97
2,vsebuje,3,2,je znotraj,1,,,,,,,2,znotraj,1,yes,Is,250,-250,97
1,vsebuje,2,3,je znotraj,2,,,,,,,1,znotraj,2,no,Is,250,-250,97
1,vsebuje,2,3,je znotraj,2,,,,,,,1,znotraj,3,no,Is,250,-250,97
1,vsebuje,2,3,je znotraj,2,,,,,,,2,znotraj,3,no,Is,250,-250,97
1,vsebuje,2,3,je znotraj,2,,,,,,,3,znotraj,1,yes,Is,250,-250,97
1,vsebuje,2,3,je znotraj,2,,,,,,,3,znotraj,2,yes,Is,250,-250,97
1,vsebuje,2,3,je znotraj,2,,,,,,,2,znotraj,1,yes,Is,250,-250,97
2,je znotraj,1,2,vsebuje,3,,,,,,,1,znotraj,2,no,Is,-250,250,97
2,je znotraj,1,2,vsebuje,3,,,,,,,1,znotraj,3,no,Is,-250,250,97
2,je znotraj,1,2,vsebuje,3,,,,,,,2,znotraj,3,no,Is,-250,250,97
2,je znotraj,1,2,vsebuje,3,,,,,,,3,znotraj,1,yes,Is,-250,250,97
2,je znotraj,1,2,vsebuje,3,,,,,,,3,znotraj,2,yes,Is,-250,250,97
2,je znotraj,1,2,vsebuje,3,,,,,,,2,znotraj,1,yes,Is,-250,250,97
3,je znotraj,2,1,vsebuje,2,,,,,,,1,znotraj,2,no,Is,-250,250,97
3,je znotraj,2,1,vsebuje,2,,,,,,,1,znotraj,3,no,Is,-250,250,97
3,je znotraj,2,1,vsebuje,2,,,,,,,2,znotraj,3,no,Is,-250,250,97
3,je znotraj,2,1,vsebuje,2,,,,,,,3,znotraj,1,yes,Is,-250,250,97
3,je znotraj,2,1,vsebuje,2,,,,,,,3,znotraj,2,yes,Is,-250,250,97
3,je znotraj,2,1,vsebuje,2,,,,,,,2,znotraj,1,yes,Is,-250,250,97
2,vsebuje,3,2,je znotraj,1,,,,,,,1,znotraj,2,no,Is,-250,250,97
2,vsebuje,3,2,je znotraj,1,,,,,,,1,znotraj,3,no,Is,-250,250,97
2,vsebuje,3,2,je znotraj,1,,,,,,,2,znotraj,3,no,Is,-250,250,97
2,vsebuje,3,2,je znotraj,1,,,,,,,3,znotraj,1,yes,Is,-250,250,97
2,vsebuje,3,2,je znotraj,1,,,,,,,3,znotraj,2,yes,Is,-250,250,97
2,vsebuje,3,2,je znotraj,1,,,,,,,2,znotraj,1,yes,Is,-250,250,97
1,vsebuje,2,3,je znotraj,2,,,,,,,1,znotraj,2,no,Is,-250,250,97
1,vsebuje,2,3,je znotraj,2,,,,,,,1,znotraj,3,no,Is,-250,250,97
1,vsebuje,2,3,je znotraj,2,,,,,,,2,znotraj,3,no,Is,-250,250,97
1,vsebuje,2,3,je znotraj,2,,,,,,,3,znotraj,1,yes,Is,-250,250,97
1,vsebuje,2,3,je znotraj,2,,,,,,,3,znotraj,2,yes,Is,-250,250,97
1,vsebuje,2,3,je znotraj,2,,,,,,,2,znotraj,1,yes,Is,-250,250,97
