relation_1,stim_3_id,relation_2,stim_4_id,stim_5_id,relation_3,stim_6_id,q_stim_1_id,q_rel,q_stim_2_id,correct_response,yes_x_coord,no_x_coord,stage
comes before,3,comes before,1,2,comes before,4,1,come before,4,yes,250,-250,76
comes before,3,comes before,1,2,comes before,4,4,come before,1,no,250,-250,76
comes before,3,comes before,1,2,comes before,4,1,come after,4,no,250,-250,76
comes before,3,comes before,1,2,comes before,4,4,come after,1,yes,250,-250,76
comes before,2,comes before,4,3,comes before,1,3,come before,2,yes,250,-250,76
comes before,2,comes before,4,3,comes before,1,2,come before,3,no,250,-250,76
comes before,2,comes before,4,3,comes before,1,3,come after,2,no,250,-250,76
comes before,2,comes before,4,3,comes before,1,2,come after,3,yes,250,-250,76
comes before,3,comes before,1,4,comes before,3,4,come before,1,yes,250,-250,76
comes before,3,comes before,1,4,comes before,3,1,come before,4,no,250,-250,76
comes before,3,comes before,1,4,comes before,3,4,come after,1,no,250,-250,76
comes before,3,comes before,1,4,comes before,3,1,come after,4,yes,250,-250,76
comes before,2,comes before,3,4,comes before,1,1,come before,3,yes,250,-250,76
comes before,2,comes before,3,4,comes before,1,3,come before,1,no,250,-250,76
comes before,2,comes before,3,4,comes before,1,1,come after,3,no,250,-250,76
comes before,2,comes before,3,4,comes before,1,3,come after,1,yes,250,-250,76
comes before,3,comes before,1,2,comes before,4,3,come before,2,yes,250,-250,76
comes before,3,comes before,1,2,comes before,4,2,come before,3,no,250,-250,76
comes before,3,comes before,1,2,comes before,4,3,come after,2,no,250,-250,76
comes before,3,comes before,1,2,comes before,4,2,come after,3,yes,250,-250,76
comes before,4,comes before,1,2,comes before,3,3,come after,1,yes,250,-250,76
comes before,4,comes before,1,2,comes before,3,1,come after,3,no,250,-250,76
comes before,4,comes before,1,2,comes before,3,3,come before,1,no,250,-250,76
comes before,4,comes before,1,2,comes before,3,1,come before,3,yes,250,-250,76
comes before,2,comes before,4,4,comes before,3,4,come after,1,yes,250,-250,76
comes before,2,comes before,4,4,comes before,3,1,come after,4,no,250,-250,76
comes before,2,comes before,4,4,comes before,3,4,come before,1,no,250,-250,76
comes before,2,comes before,4,4,comes before,3,1,come before,4,yes,250,-250,76
comes before,4,comes before,3,2,comes before,4,4,come after,1,yes,250,-250,76
comes before,4,comes before,3,2,comes before,4,1,come after,4,no,250,-250,76
comes before,4,comes before,3,2,comes before,4,4,come before,1,no,250,-250,76
comes before,4,comes before,3,2,comes before,4,1,come before,4,yes,250,-250,76
comes before,3,comes before,4,4,comes before,1,3,come before,1,yes,250,-250,76
comes before,3,comes before,4,4,comes before,1,1,come before,3,no,250,-250,76
comes before,3,comes before,4,4,comes before,1,3,come after,1,no,250,-250,76
comes before,3,comes before,4,4,comes before,1,1,come after,3,yes,250,-250,76
comes before,2,comes before,3,3,comes before,4,3,come after,1,yes,250,-250,76
comes before,2,comes before,3,3,comes before,4,1,come after,3,no,250,-250,76
comes before,2,comes before,3,3,comes before,4,3,come before,1,no,250,-250,76
comes before,2,comes before,3,3,comes before,4,1,come before,3,yes,250,-250,76
comes before,2,comes before,3,4,comes before,1,4,come before,2,yes,250,-250,76
comes before,2,comes before,3,4,comes before,1,2,come before,4,no,250,-250,76
comes before,2,comes before,3,4,comes before,1,4,come after,2,no,250,-250,76
comes before,2,comes before,3,4,comes before,1,2,come after,4,yes,250,-250,76
comes before,3,comes before,4,2,comes before,3,3,come after,1,yes,250,-250,76
comes before,3,comes before,4,2,comes before,3,1,come after,3,no,250,-250,76
comes before,3,comes before,4,2,comes before,3,3,come before,1,no,250,-250,76
comes before,3,comes before,4,2,comes before,3,1,come before,3,yes,250,-250,76
comes before,2,comes before,3,3,comes before,4,2,come before,4,yes,250,-250,76
comes before,2,comes before,3,3,comes before,4,4,come before,2,no,250,-250,76
comes before,2,comes before,3,3,comes before,4,2,come after,4,no,250,-250,76
comes before,2,comes before,3,3,comes before,4,4,come after,2,yes,250,-250,76
comes before,4,comes before,3,2,comes before,4,3,come after,2,yes,250,-250,76
comes before,4,comes before,3,2,comes before,4,2,come after,3,no,250,-250,76
comes before,4,comes before,3,2,comes before,4,3,come before,2,no,250,-250,76
comes before,4,comes before,3,2,comes before,4,2,come before,3,yes,250,-250,76
comes before,2,comes before,4,4,comes before,3,2,come before,3,yes,250,-250,76
comes before,2,comes before,4,4,comes before,3,3,come before,2,no,250,-250,76
comes before,2,comes before,4,4,comes before,3,2,come after,3,no,250,-250,76
comes before,2,comes before,4,4,comes before,3,3,come after,2,yes,250,-250,76
comes before,4,comes before,3,3,comes before,1,4,come before,1,yes,250,-250,76
comes before,4,comes before,3,3,comes before,1,1,come before,4,no,250,-250,76
comes before,4,comes before,3,3,comes before,1,4,come after,1,no,250,-250,76
comes before,4,comes before,3,3,comes before,1,1,come after,4,yes,250,-250,76
comes before,2,comes before,4,3,comes before,1,1,come before,4,yes,250,-250,76
comes before,2,comes before,4,3,comes before,1,4,come before,1,no,250,-250,76
comes before,2,comes before,4,3,comes before,1,1,come after,4,no,250,-250,76
comes before,2,comes before,4,3,comes before,1,4,come after,1,yes,250,-250,76
comes before,3,comes before,4,2,comes before,3,2,come before,4,yes,250,-250,76
comes before,3,comes before,4,2,comes before,3,4,come before,2,no,250,-250,76
comes before,3,comes before,4,2,comes before,3,2,come after,4,no,250,-250,76
comes before,3,comes before,4,2,comes before,3,4,come after,2,yes,250,-250,76
comes before,3,comes before,4,4,comes before,1,2,come after,4,yes,250,-250,76
comes before,3,comes before,4,4,comes before,1,4,come after,2,no,250,-250,76
comes before,3,comes before,4,4,comes before,1,2,come before,4,no,250,-250,76
comes before,3,comes before,4,4,comes before,1,4,come before,2,yes,250,-250,76
comes before,4,comes before,1,3,comes before,4,1,come after,3,yes,250,-250,76
comes before,4,comes before,1,3,comes before,4,3,come after,1,no,250,-250,76
comes before,4,comes before,1,3,comes before,4,1,come before,3,no,250,-250,76
comes before,4,comes before,1,3,comes before,4,3,come before,1,yes,250,-250,76
comes before,4,comes before,1,2,comes before,3,4,come before,2,yes,250,-250,76
comes before,4,comes before,1,2,comes before,3,2,come before,4,no,250,-250,76
comes before,4,comes before,1,2,comes before,3,4,come after,2,no,250,-250,76
comes before,4,comes before,1,2,comes before,3,2,come after,4,yes,250,-250,76
comes before,3,comes before,1,4,comes before,3,2,come after,3,yes,250,-250,76
comes before,3,comes before,1,4,comes before,3,3,come after,2,no,250,-250,76
comes before,3,comes before,1,4,comes before,3,2,come before,3,no,250,-250,76
comes before,3,comes before,1,4,comes before,3,3,come before,2,yes,250,-250,76
comes before,4,comes before,1,3,comes before,4,4,come before,2,yes,250,-250,76
comes before,4,comes before,1,3,comes before,4,2,come before,4,no,250,-250,76
comes before,4,comes before,1,3,comes before,4,4,come after,2,no,250,-250,76
comes before,4,comes before,1,3,comes before,4,2,come after,4,yes,250,-250,76
comes before,4,comes before,3,3,comes before,1,2,come after,3,yes,250,-250,76
comes before,4,comes before,3,3,comes before,1,3,come after,2,no,250,-250,76
comes before,4,comes before,3,3,comes before,1,2,come before,3,no,250,-250,76
comes before,4,comes before,3,3,comes before,1,3,come before,2,yes,250,-250,76
comes before,3,comes before,1,2,comes before,4,1,come before,4,yes,-250,250,76
comes before,3,comes before,1,2,comes before,4,4,come before,1,no,-250,250,76
comes before,3,comes before,1,2,comes before,4,1,come after,4,no,-250,250,76
comes before,3,comes before,1,2,comes before,4,4,come after,1,yes,-250,250,76
comes before,2,comes before,4,3,comes before,1,3,come before,2,yes,-250,250,76
comes before,2,comes before,4,3,comes before,1,2,come before,3,no,-250,250,76
comes before,2,comes before,4,3,comes before,1,3,come after,2,no,-250,250,76
comes before,2,comes before,4,3,comes before,1,2,come after,3,yes,-250,250,76
comes before,3,comes before,1,4,comes before,3,4,come before,1,yes,-250,250,76
