X,relation_1,stim_3_id,relation_2,stim_4_id,stim_5_id,relation_3,stim_6_id,q_stim_1_id,q_rel,q_stim_2_id,correct_response,yes_x_coord,no_x_coord,stage
1,is verschillend van,2,is hetzelfde als,3,,,,3,verschillend van,1,yes,250,-250,136
2,is verschillend van,2,is hetzelfde als,3,,,,1,verschillend van,3,yes,250,-250,136
3,is hetzelfde als,2,is verschillend van,3,,,,3,verschillend van,1,yes,250,-250,136
4,is hetzelfde als,2,is verschillend van,3,,,,1,verschillend van,3,yes,250,-250,136
5,is verschillend van,2,is hetzelfde als,3,,,,3,hetzelfde als,1,no,250,-250,136
6,is verschillend van,2,is hetzelfde als,3,,,,1,hetzelfde als,3,no,250,-250,136
7,is hetzelfde als,2,is verschillend van,3,,,,3,hetzelfde als,1,no,250,-250,136
8,is hetzelfde als,2,is verschillend van,3,,,,1,hetzelfde als,3,no,250,-250,136
9,is verschillend van,2,is hetzelfde als,3,,,,3,verschillend van,2,no,250,-250,136
10,is verschillend van,2,is hetzelfde als,3,,,,2,verschillend van,3,no,250,-250,136
11,is hetzelfde als,2,is verschillend van,3,,,,3,verschillend van,2,yes,250,-250,136
12,is hetzelfde als,2,is verschillend van,3,,,,2,verschillend van,3,yes,250,-250,136
13,is verschillend van,2,is hetzelfde als,3,,,,3,hetzelfde als,2,yes,250,-250,136
14,is verschillend van,2,is hetzelfde als,3,,,,2,hetzelfde als,3,yes,250,-250,136
15,is hetzelfde als,2,is verschillend van,3,,,,3,hetzelfde als,2,no,250,-250,136
16,is hetzelfde als,2,is verschillend van,3,,,,2,hetzelfde als,3,no,250,-250,136
17,is verschillend van,2,is hetzelfde als,3,,,,1,verschillend van,2,yes,250,-250,136
18,is verschillend van,2,is hetzelfde als,3,,,,2,verschillend van,1,yes,250,-250,136
19,is hetzelfde als,2,is verschillend van,3,,,,1,verschillend van,2,no,250,-250,136
20,is hetzelfde als,2,is verschillend van,3,,,,2,verschillend van,1,no,250,-250,136
21,is verschillend van,2,is hetzelfde als,3,,,,1,hetzelfde als,2,no,250,-250,136
22,is verschillend van,2,is hetzelfde als,3,,,,2,hetzelfde als,1,no,250,-250,136
23,is hetzelfde als,2,is verschillend van,3,,,,1,hetzelfde als,2,yes,250,-250,136
24,is hetzelfde als,2,is verschillend van,3,,,,2,hetzelfde als,1,yes,250,-250,136
25,is verschillend van,2,is hetzelfde als,3,,,,3,verschillend van,1,yes,-250,250,136
26,is verschillend van,2,is hetzelfde als,3,,,,1,verschillend van,3,yes,-250,250,136
27,is hetzelfde als,2,is verschillend van,3,,,,3,verschillend van,1,yes,-250,250,136
28,is hetzelfde als,2,is verschillend van,3,,,,1,verschillend van,3,yes,-250,250,136
29,is verschillend van,2,is hetzelfde als,3,,,,3,hetzelfde als,1,no,-250,250,136
30,is verschillend van,2,is hetzelfde als,3,,,,1,hetzelfde als,3,no,-250,250,136
31,is hetzelfde als,2,is verschillend van,3,,,,3,hetzelfde als,1,no,-250,250,136
32,is hetzelfde als,2,is verschillend van,3,,,,1,hetzelfde als,3,no,-250,250,136
33,is verschillend van,2,is hetzelfde als,3,,,,3,verschillend van,2,no,-250,250,136
34,is verschillend van,2,is hetzelfde als,3,,,,2,verschillend van,3,no,-250,250,136
35,is hetzelfde als,2,is verschillend van,3,,,,3,verschillend van,2,yes,-250,250,136
36,is hetzelfde als,2,is verschillend van,3,,,,2,verschillend van,3,yes,-250,250,136
37,is verschillend van,2,is hetzelfde als,3,,,,3,hetzelfde als,2,yes,-250,250,136
38,is verschillend van,2,is hetzelfde als,3,,,,2,hetzelfde als,3,yes,-250,250,136
39,is hetzelfde als,2,is verschillend van,3,,,,3,hetzelfde als,2,no,-250,250,136
40,is hetzelfde als,2,is verschillend van,3,,,,2,hetzelfde als,3,no,-250,250,136
41,is verschillend van,2,is hetzelfde als,3,,,,1,verschillend van,2,yes,-250,250,136
42,is verschillend van,2,is hetzelfde als,3,,,,2,verschillend van,1,yes,-250,250,136
43,is hetzelfde als,2,is verschillend van,3,,,,1,verschillend van,2,no,-250,250,136
44,is hetzelfde als,2,is verschillend van,3,,,,2,verschillend van,1,no,-250,250,136
45,is verschillend van,2,is hetzelfde als,3,,,,1,hetzelfde als,2,no,-250,250,136
46,is verschillend van,2,is hetzelfde als,3,,,,2,hetzelfde als,1,no,-250,250,136
47,is hetzelfde als,2,is verschillend van,3,,,,1,hetzelfde als,2,yes,-250,250,136
48,is hetzelfde als,2,is verschillend van,3,,,,2,hetzelfde als,1,yes,-250,250,136
