relation_1,stim_3_id,relation_2,stim_4_id,stim_5_id,relation_3,stim_6_id,q_stim_1_id,q_rel,q_stim_2_id,correct_response,yes_x_coord,no_x_coord,stage
komt voor,2,komt voor,3,,,,1,voor,2,yes,-250,250,66
komt voor,2,komt voor,3,,,,2,voor,3,yes,-250,250,66
komt voor,2,komt voor,3,,,,1,voor,3,yes,-250,250,66
komt voor,2,komt voor,3,,,,2,voor,1,no,-250,250,66
komt voor,2,komt voor,3,,,,3,voor,2,no,-250,250,66
komt voor,2,komt voor,3,,,,3,voor,1,no,-250,250,66
komt voor,3,komt voor,2,,,,1,voor,2,yes,-250,250,66
komt voor,3,komt voor,2,,,,2,voor,3,no,-250,250,66
komt voor,3,komt voor,2,,,,2,voor,1,no,-250,250,66
komt voor,3,komt voor,2,,,,3,voor,2,yes,-250,250,66
komt voor,3,komt voor,1,,,,1,voor,2,yes,-250,250,66
komt voor,3,komt voor,1,,,,2,voor,3,no,-250,250,66
komt voor,3,komt voor,1,,,,1,voor,3,no,-250,250,66
komt voor,3,komt voor,1,,,,2,voor,1,no,-250,250,66
komt voor,3,komt voor,1,,,,3,voor,2,yes,-250,250,66
komt voor,3,komt voor,1,,,,3,voor,1,yes,-250,250,66
komt voor,1,komt voor,3,,,,1,voor,2,yes,-250,250,66
komt voor,1,komt voor,3,,,,1,voor,3,yes,-250,250,66
komt voor,1,komt voor,3,,,,2,voor,1,no,-250,250,66
komt voor,1,komt voor,3,,,,3,voor,1,no,-250,250,66
