"","relation_1","stim_3_id","relation_2","stim_4_id","stim_5_id","relation_3","stim_6_id","q_stim_1_id","q_rel","q_stim_2_id","correct_response","yes_x_coord","no_x_coord","stage"
"1","is hetzelfde als","2","is hetzelfde als","3",NA,NA,NA,"3","verschillend van","1","no","250","-250","129"
"2","is hetzelfde als","2","is hetzelfde als","3",NA,NA,NA,"1","verschillend van","3","no","250","-250","129"
"3","is hetzelfde als","3","is hetzelfde als","2",NA,NA,NA,"3","verschillend van","1","no","250","-250","129"
"4","is hetzelfde als","3","is hetzelfde als","2",NA,NA,NA,"1","verschillend van","3","no","250","-250","129"
"5","is hetzelfde als","1","is hetzelfde als","3",NA,NA,NA,"3","verschillend van","1","no","250","-250","129"
"6","is hetzelfde als","1","is hetzelfde als","3",NA,NA,NA,"1","verschillend van","3","no","250","-250","129"
"7","is hetzelfde als","3","is hetzelfde als","1",NA,NA,NA,"3","verschillend van","1","no","250","-250","129"
"8","is hetzelfde als","3","is hetzelfde als","1",NA,NA,NA,"1","verschillend van","3","no","250","-250","129"
"9","is hetzelfde als","2","is hetzelfde als","3",NA,NA,NA,"3","hetzelfde als","1","yes","250","-250","129"
"10","is hetzelfde als","2","is hetzelfde als","3",NA,NA,NA,"1","hetzelfde als","3","yes","250","-250","129"
"11","is hetzelfde als","3","is hetzelfde als","2",NA,NA,NA,"3","hetzelfde als","1","yes","250","-250","129"
"12","is hetzelfde als","3","is hetzelfde als","2",NA,NA,NA,"1","hetzelfde als","3","yes","250","-250","129"
"13","is hetzelfde als","1","is hetzelfde als","3",NA,NA,NA,"3","hetzelfde als","1","yes","250","-250","129"
"14","is hetzelfde als","1","is hetzelfde als","3",NA,NA,NA,"1","hetzelfde als","3","yes","250","-250","129"
"15","is hetzelfde als","3","is hetzelfde als","1",NA,NA,NA,"3","hetzelfde als","1","yes","250","-250","129"
"16","is hetzelfde als","3","is hetzelfde als","1",NA,NA,NA,"1","hetzelfde als","3","yes","250","-250","129"
"17","is hetzelfde als","2","is hetzelfde als","3",NA,NA,NA,"3","verschillend van","1","no","-250","250","129"
"18","is hetzelfde als","2","is hetzelfde als","3",NA,NA,NA,"1","verschillend van","3","no","-250","250","129"
"19","is hetzelfde als","3","is hetzelfde als","2",NA,NA,NA,"3","verschillend van","1","no","-250","250","129"
"20","is hetzelfde als","3","is hetzelfde als","2",NA,NA,NA,"1","verschillend van","3","no","-250","250","129"
"21","is hetzelfde als","1","is hetzelfde als","3",NA,NA,NA,"3","verschillend van","1","no","-250","250","129"
"22","is hetzelfde als","1","is hetzelfde als","3",NA,NA,NA,"1","verschillend van","3","no","-250","250","129"
"23","is hetzelfde als","3","is hetzelfde als","1",NA,NA,NA,"3","verschillend van","1","no","-250","250","129"
"24","is hetzelfde als","3","is hetzelfde als","1",NA,NA,NA,"1","verschillend van","3","no","-250","250","129"
"25","is hetzelfde als","2","is hetzelfde als","3",NA,NA,NA,"3","hetzelfde als","1","yes","-250","250","129"
"26","is hetzelfde als","2","is hetzelfde als","3",NA,NA,NA,"1","hetzelfde als","3","yes","-250","250","129"
"27","is hetzelfde als","3","is hetzelfde als","2",NA,NA,NA,"3","hetzelfde als","1","yes","-250","250","129"
"28","is hetzelfde als","3","is hetzelfde als","2",NA,NA,NA,"1","hetzelfde als","3","yes","-250","250","129"
"29","is hetzelfde als","1","is hetzelfde als","3",NA,NA,NA,"3","hetzelfde als","1","yes","-250","250","129"
"30","is hetzelfde als","1","is hetzelfde als","3",NA,NA,NA,"1","hetzelfde als","3","yes","-250","250","129"
"31","is hetzelfde als","3","is hetzelfde als","1",NA,NA,NA,"3","hetzelfde als","1","yes","-250","250","129"
"32","is hetzelfde als","3","is hetzelfde als","1",NA,NA,NA,"1","hetzelfde als","3","yes","-250","250","129"
