X,relation_1,stim_3_id,relation_2,stim_4_id,stim_5_id,relation_3,stim_6_id,q_stim_1_id,q_rel,q_stim_2_id,correct_response,yes_x_coord,no_x_coord,stage
1,is verschillend van,2,is hetzelfde als,3,3,is hetzelfde als,4,3,hetzelfde als,1,no,250,-250,142
2,is verschillend van,2,is hetzelfde als,3,3,is hetzelfde als,4,1,hetzelfde als,3,no,250,-250,142
3,is verschillend van,2,is hetzelfde als,3,3,is hetzelfde als,4,3,verschillend van,1,yes,250,-250,142
4,is verschillend van,2,is hetzelfde als,3,3,is hetzelfde als,4,1,verschillend van,3,yes,250,-250,142
5,is verschillend van,2,is hetzelfde als,3,3,is hetzelfde als,4,4,hetzelfde als,2,yes,250,-250,142
6,is verschillend van,2,is hetzelfde als,3,3,is hetzelfde als,4,2,hetzelfde als,4,yes,250,-250,142
7,is verschillend van,2,is hetzelfde als,3,3,is hetzelfde als,4,4,verschillend van,2,no,250,-250,142
8,is verschillend van,2,is hetzelfde als,3,3,is hetzelfde als,4,2,verschillend van,4,no,250,-250,142
9,is verschillend van,2,is hetzelfde als,3,3,is hetzelfde als,4,4,hetzelfde als,1,no,250,-250,142
10,is verschillend van,2,is hetzelfde als,3,3,is hetzelfde als,4,1,hetzelfde als,4,no,250,-250,142
11,is verschillend van,2,is hetzelfde als,3,3,is hetzelfde als,4,4,verschillend van,1,yes,250,-250,142
12,is verschillend van,2,is hetzelfde als,3,3,is hetzelfde als,4,1,verschillend van,4,yes,250,-250,142
13,is verschillend van,2,is hetzelfde als,3,3,is hetzelfde als,4,3,hetzelfde als,1,no,-250,250,142
14,is verschillend van,2,is hetzelfde als,3,3,is hetzelfde als,4,1,hetzelfde als,3,no,-250,250,142
15,is verschillend van,2,is hetzelfde als,3,3,is hetzelfde als,4,3,verschillend van,1,yes,-250,250,142
16,is verschillend van,2,is hetzelfde als,3,3,is hetzelfde als,4,1,verschillend van,3,yes,-250,250,142
17,is verschillend van,2,is hetzelfde als,3,3,is hetzelfde als,4,4,hetzelfde als,2,yes,-250,250,142
18,is verschillend van,2,is hetzelfde als,3,3,is hetzelfde als,4,2,hetzelfde als,4,yes,-250,250,142
19,is verschillend van,2,is hetzelfde als,3,3,is hetzelfde als,4,4,verschillend van,2,no,-250,250,142
20,is verschillend van,2,is hetzelfde als,3,3,is hetzelfde als,4,2,verschillend van,4,no,-250,250,142
21,is verschillend van,2,is hetzelfde als,3,3,is hetzelfde als,4,4,hetzelfde als,1,no,-250,250,142
22,is verschillend van,2,is hetzelfde als,3,3,is hetzelfde als,4,1,hetzelfde als,4,no,-250,250,142
23,is verschillend van,2,is hetzelfde als,3,3,is hetzelfde als,4,4,verschillend van,1,yes,-250,250,142
24,is verschillend van,2,is hetzelfde als,3,3,is hetzelfde als,4,1,verschillend van,4,yes,-250,250,142
