stim_1_id,relation_1,stim_2_id,stim_3_id,relation_2,stim_4_id,stim_5_id,relation_3,stim_6_id,stim_7_id,relation_4,stim_8_id,q_stim_1_id,q_rel,q_stim_2_id,correct_response,q_word,yes_x_coord,no_x_coord,stage
1,bevat,2,2,bevat,3,,,,,,,1,in,2,no,Zit,-250,250,91
1,bevat,2,2,bevat,3,,,,,,,1,in,3,no,Zit,-250,250,91
1,bevat,2,2,bevat,3,,,,,,,2,in,3,no,Zit,-250,250,91
1,bevat,2,2,bevat,3,,,,,,,3,in,1,yes,Zit,-250,250,91
1,bevat,2,2,bevat,3,,,,,,,3,in,2,yes,Zit,-250,250,91
1,bevat,2,2,bevat,3,,,,,,,2,in,1,yes,Zit,-250,250,91
2,bevat,3,1,bevat,2,,,,,,,1,in,2,no,Zit,-250,250,91
2,bevat,3,1,bevat,2,,,,,,,1,in,3,no,Zit,-250,250,91
2,bevat,3,1,bevat,2,,,,,,,2,in,3,no,Zit,-250,250,91
2,bevat,3,1,bevat,2,,,,,,,3,in,1,yes,Zit,-250,250,91
2,bevat,3,1,bevat,2,,,,,,,3,in,2,yes,Zit,-250,250,91
2,bevat,3,1,bevat,2,,,,,,,2,in,1,yes,Zit,-250,250,91
