relation_1,stim_3_id,relation_2,stim_4_id,stim_5_id,relation_3,stim_6_id,q_stim_1_id,q_rel,q_stim_2_id,correct_response,yes_x_coord,no_x_coord,stage
je enako,2,je enako,3,,,,3,enako,1,yes,250,-250,10
je enako,2,je enako,3,,,,1,enako,3,yes,250,-250,10
je enako,3,je enako,2,,,,3,enako,1,yes,250,-250,10
je enako,3,je enako,2,,,,1,enako,3,yes,250,-250,10
je enako,1,je enako,3,,,,3,enako,1,yes,250,-250,10
je enako,1,je enako,3,,,,1,enako,3,yes,250,-250,10
je enako,3,je enako,1,,,,3,enako,1,yes,250,-250,10
je enako,3,je enako,1,,,,1,enako,3,yes,250,-250,10
je enako,2,je enako,3,,,,3,enako,1,yes,-250,250,10
je enako,2,je enako,3,,,,1,enako,3,yes,-250,250,10
je enako,3,je enako,2,,,,3,enako,1,yes,-250,250,10
je enako,3,je enako,2,,,,1,enako,3,yes,-250,250,10
je enako,1,je enako,3,,,,3,enako,1,yes,-250,250,10
je enako,1,je enako,3,,,,1,enako,3,yes,-250,250,10
je enako,3,je enako,1,,,,3,enako,1,yes,-250,250,10
je enako,3,je enako,1,,,,1,enako,3,yes,-250,250,10
