stim_1_id,relation_1,stim_2_id,stim_3_id,relation_2,stim_4_id,stim_5_id,relation_3,stim_6_id,stim_7_id,relation_4,stim_8_id,q_stim_1_id,q_rel,q_stim_2_id,correct_response,q_word,yes_x_coord,no_x_coord,stage
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,1,znotraj,2,yes,Is,250,-250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,1,znotraj,3,yes,Is,250,-250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,1,znotraj,4,yes,Is,250,-250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,2,znotraj,3,yes,Is,250,-250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,2,znotraj,4,yes,Is,250,-250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,3,znotraj,4,yes,Is,250,-250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,4,znotraj,1,no,Is,250,-250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,4,znotraj,2,no,Is,250,-250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,4,znotraj,3,no,Is,250,-250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,3,znotraj,1,no,Is,250,-250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,3,znotraj,2,no,Is,250,-250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,2,znotraj,1,no,Is,250,-250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,1,vsebuje,2,no,Does,250,-250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,1,vsebuje,3,no,Does,250,-250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,1,vsebuje,4,no,Does,250,-250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,2,vsebuje,3,no,Does,250,-250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,2,vsebuje,4,no,Does,250,-250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,3,vsebuje,4,no,Does,250,-250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,4,vsebuje,1,yes,Does,250,-250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,4,vsebuje,2,yes,Does,250,-250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,4,vsebuje,3,yes,Does,250,-250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,3,vsebuje,1,yes,Does,250,-250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,3,vsebuje,2,yes,Does,250,-250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,2,vsebuje,1,yes,Does,250,-250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,1,znotraj,2,yes,Is,-250,250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,1,znotraj,3,yes,Is,-250,250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,1,znotraj,4,yes,Is,-250,250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,2,znotraj,3,yes,Is,-250,250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,2,znotraj,4,yes,Is,-250,250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,3,znotraj,4,yes,Is,-250,250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,4,znotraj,1,no,Is,-250,250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,4,znotraj,2,no,Is,-250,250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,4,znotraj,3,no,Is,-250,250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,3,znotraj,1,no,Is,-250,250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,3,znotraj,2,no,Is,-250,250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,2,znotraj,1,no,Is,-250,250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,1,vsebuje,2,no,Does,-250,250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,1,vsebuje,3,no,Does,-250,250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,1,vsebuje,4,no,Does,-250,250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,2,vsebuje,3,no,Does,-250,250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,2,vsebuje,4,no,Does,-250,250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,3,vsebuje,4,no,Does,-250,250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,4,vsebuje,1,yes,Does,-250,250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,4,vsebuje,2,yes,Does,-250,250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,4,vsebuje,3,yes,Does,-250,250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,3,vsebuje,1,yes,Does,-250,250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,3,vsebuje,2,yes,Does,-250,250,100
1,je znotraj,2,2,je znotraj,3,3,je znotraj,4,,,,2,vsebuje,1,yes,Does,-250,250,100
