relation_1,meta_relation_1,relation_2,meta_stim_1_id,meta_relation_2,meta_stim_2_id,q_stim_1_id,q_rel,q_stim_2_id,correct_response,stage,yes_x_coord,no_x_coord,q_word
+,is the same as,+,1,is less than,3,2,more than,4,yes,110,250,-250,Is
+,is the same as,+,1,is less than,3,4,more than,2,no,110,250,-250,Is
+,is the same as,+,3,is less than,1,2,more than,4,no,110,250,-250,Is
+,is the same as,+,3,is less than,1,4,more than,2,yes,110,250,-250,Is
+,is the same as,+,2,is less than,4,1,more than,3,yes,110,250,-250,Is
+,is the same as,+,2,is less than,4,3,more than,1,no,110,250,-250,Is
+,is the same as,+,4,is less than,2,1,more than,3,no,110,250,-250,Is
+,is the same as,+,4,is less than,2,3,more than,1,yes,110,250,-250,Is
+,is the same as,+,1,is less than,4,3,more than,2,no,110,250,-250,Is
+,is the same as,+,1,is less than,4,2,more than,3,yes,110,250,-250,Is
+,is the same as,+,4,is less than,1,3,more than,2,yes,110,250,-250,Is
+,is the same as,+,4,is less than,1,2,more than,3,no,110,250,-250,Is
+,is the same as,+,2,is less than,3,4,more than,1,no,110,250,-250,Is
+,is the same as,+,2,is less than,3,1,more than,4,yes,110,250,-250,Is
+,is the same as,+,3,is less than,2,4,more than,1,yes,110,250,-250,Is
+,is the same as,+,3,is less than,2,1,more than,4,no,110,250,-250,Is
+,is less than,+,1,is the same as,3,2,more than,4,no,110,250,-250,Is
+,is less than,+,1,is the same as,3,4,more than,2,yes,110,250,-250,Is
+,is less than,+,3,is the same as,1,2,more than,4,no,110,250,-250,Is
+,is less than,+,3,is the same as,1,4,more than,2,yes,110,250,-250,Is
+,is less than,+,2,is the same as,4,1,more than,3,no,110,250,-250,Is
+,is less than,+,2,is the same as,4,3,more than,1,yes,110,250,-250,Is
+,is less than,+,4,is the same as,2,1,more than,3,no,110,250,-250,Is
+,is less than,+,4,is the same as,2,3,more than,1,yes,110,250,-250,Is
+,is less than,+,1,is the same as,4,2,more than,3,no,110,250,-250,Is
+,is less than,+,1,is the same as,4,3,more than,2,yes,110,250,-250,Is
+,is less than,+,4,is the same as,1,2,more than,3,no,110,250,-250,Is
+,is less than,+,4,is the same as,1,3,more than,2,yes,110,250,-250,Is
+,is less than,+,2,is the same as,3,1,more than,4,no,110,250,-250,Is
+,is less than,+,2,is the same as,3,4,more than,1,yes,110,250,-250,Is
+,is less than,+,3,is the same as,2,1,more than,4,no,110,250,-250,Is
+,is less than,+,3,is the same as,2,4,more than,1,yes,110,250,-250,Is
+,is the same as,+,1,is less than,3,2,more than,4,yes,110,-250,250,Is
+,is the same as,+,1,is less than,3,4,more than,2,no,110,-250,250,Is
+,is the same as,+,3,is less than,1,2,more than,4,no,110,-250,250,Is
+,is the same as,+,3,is less than,1,4,more than,2,yes,110,-250,250,Is
+,is the same as,+,2,is less than,4,1,more than,3,yes,110,-250,250,Is
+,is the same as,+,2,is less than,4,3,more than,1,no,110,-250,250,Is
+,is the same as,+,4,is less than,2,1,more than,3,no,110,-250,250,Is
+,is the same as,+,4,is less than,2,3,more than,1,yes,110,-250,250,Is
+,is the same as,+,1,is less than,4,3,more than,2,no,110,-250,250,Is
+,is the same as,+,1,is less than,4,2,more than,3,yes,110,-250,250,Is
+,is the same as,+,4,is less than,1,3,more than,2,yes,110,-250,250,Is
+,is the same as,+,4,is less than,1,2,more than,3,no,110,-250,250,Is
+,is the same as,+,2,is less than,3,4,more than,1,no,110,-250,250,Is
+,is the same as,+,2,is less than,3,1,more than,4,yes,110,-250,250,Is
+,is the same as,+,3,is less than,2,4,more than,1,yes,110,-250,250,Is
+,is the same as,+,3,is less than,2,1,more than,4,no,110,-250,250,Is
+,is less than,+,1,is the same as,3,2,more than,4,no,110,-250,250,Is
+,is less than,+,1,is the same as,3,4,more than,2,yes,110,-250,250,Is
+,is less than,+,3,is the same as,1,2,more than,4,no,110,-250,250,Is
+,is less than,+,3,is the same as,1,4,more than,2,yes,110,-250,250,Is
+,is less than,+,2,is the same as,4,1,more than,3,no,110,-250,250,Is
+,is less than,+,2,is the same as,4,3,more than,1,yes,110,-250,250,Is
+,is less than,+,4,is the same as,2,1,more than,3,no,110,-250,250,Is
+,is less than,+,4,is the same as,2,3,more than,1,yes,110,-250,250,Is
+,is less than,+,1,is the same as,4,2,more than,3,no,110,-250,250,Is
+,is less than,+,1,is the same as,4,3,more than,2,yes,110,-250,250,Is
+,is less than,+,4,is the same as,1,2,more than,3,no,110,-250,250,Is
+,is less than,+,4,is the same as,1,3,more than,2,yes,110,-250,250,Is
+,is less than,+,2,is the same as,3,1,more than,4,no,110,-250,250,Is
+,is less than,+,2,is the same as,3,4,more than,1,yes,110,-250,250,Is
+,is less than,+,3,is the same as,2,1,more than,4,no,110,-250,250,Is
+,is less than,+,3,is the same as,2,4,more than,1,yes,110,-250,250,Is
